patient,sample,platform,readgroup,ubam,seqtype
COMP5,COMP5_1_S126518,ILLUMINA,H3CTKDSX5_1#COMP5_1_S126518,/data/Unit_LMM/selberherr-group/kacar/rawdata/L1/BSF_1274_H3CTKDSX5_1%23COMP5_1_S126518.bam,WES
COMP5,COMP5_1_S126518,ILLUMINA,H3CTKDSX5_2#COMP5_1_S126518,/data/Unit_LMM/selberherr-group/kacar/rawdata/L2/BSF_1274_H3CTKDSX5_2%23COMP5_1_S126518.bam,WES
COMP5,COMP5_1_S126518,ILLUMINA,H3CTKDSX5_3#COMP5_1_S126518,/data/Unit_LMM/selberherr-group/kacar/rawdata/L3/BSF_1274_H3CTKDSX5_3%23COMP5_1_S126518.bam,WES
COMP5,COMP5_1_S126518,ILLUMINA,H3CTKDSX5_4#COMP5_1_S126518,/data/Unit_LMM/selberherr-group/kacar/rawdata/L4/BSF_1274_H3CTKDSX5_4%23COMP5_1_S126518.bam,WES
COMP5,COMP5_2_S126517,ILLUMINA,H3CTKDSX5_1#COMP5_2_S126517,/data/Unit_LMM/selberherr-group/kacar/rawdata/L1/BSF_1274_H3CTKDSX5_1%23COMP5_2_S126517.bam,WES
COMP5,COMP5_2_S126517,ILLUMINA,H3CTKDSX5_2#COMP5_2_S126517,/data/Unit_LMM/selberherr-group/kacar/rawdata/L2/BSF_1274_H3CTKDSX5_2%23COMP5_2_S126517.bam,WES
COMP5,COMP5_2_S126517,ILLUMINA,H3CTKDSX5_3#COMP5_2_S126517,/data/Unit_LMM/selberherr-group/kacar/rawdata/L3/BSF_1274_H3CTKDSX5_3%23COMP5_2_S126517.bam,WES
COMP5,COMP5_2_S126517,ILLUMINA,H3CTKDSX5_4#COMP5_2_S126517,/data/Unit_LMM/selberherr-group/kacar/rawdata/L4/BSF_1274_H3CTKDSX5_4%23COMP5_2_S126517.bam,WES
COMP5,COMP5_5_S126520,ILLUMINA,H3CTKDSX5_1#COMP5_5_S126520,/data/Unit_LMM/selberherr-group/kacar/rawdata/L1/BSF_1274_H3CTKDSX5_1%23COMP5_5_S126520.bam,WES
COMP5,COMP5_5_S126520,ILLUMINA,H3CTKDSX5_2#COMP5_5_S126520,/data/Unit_LMM/selberherr-group/kacar/rawdata/L2/BSF_1274_H3CTKDSX5_2%23COMP5_5_S126520.bam,WES
COMP5,COMP5_5_S126520,ILLUMINA,H3CTKDSX5_3#COMP5_5_S126520,/data/Unit_LMM/selberherr-group/kacar/rawdata/L3/BSF_1274_H3CTKDSX5_3%23COMP5_5_S126520.bam,WES
COMP5,COMP5_5_S126520,ILLUMINA,H3CTKDSX5_4#COMP5_5_S126520,/data/Unit_LMM/selberherr-group/kacar/rawdata/L4/BSF_1274_H3CTKDSX5_4%23COMP5_5_S126520.bam,WES
